reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,fine,original,43,E_vs_B_E,energy_error,0.007876623153903587,0.010278021503871767,-0.00240139834996818,-0.240139834996818,0.23364402857724756
old,fine,original,43,E_vs_B_E,local_joule_NRMSE,0.09385792874669568,0.09946828750972929,-0.005610358763033604,,0.05640349204247473
old,fine,shorter,29,E_vs_F,S,0.0010861718750000001,0.0012612500000000002,-0.0001750781250000001,,0.13881318136769083
old,fine,shorter,29,E_vs_F,Ephi,0.01900241378176963,0.023818465166233878,-0.004816051384464247,,0.2021982252362632
old,fine,shorter,29,E_vs_F,ET,0.011021722601211524,0.011691428007149965,-0.0006697054059384405,-0.06697054059384405,0.05728174569683686
old,fine,shorter,29,E_vs_F,EV,0.0016533823136455007,0.003780216766383053,-0.002126834452737552,,0.562622353207678
old,fine,shorter,29,E_vs_F,EI,0.010448642699665498,0.023106924135775406,-0.012658281436109907,-1.2658281436109908,0.5478133464121113
old,fine,shorter,29,E_vs_F,bottom_current_NRMSE,0.010448642699662858,0.023106924135777012,-0.012658281436114154,-1.2658281436114154,0.547813346412257
old,fine,shorter,29,E_vs_F,power_trace_NRMSE,0.010551637555618387,0.023788971381223406,-0.013237333825605019,-1.3237333825605018,0.5564483479959635
old,fine,shorter,29,E_vs_F,energy_error,0.004189372580586636,0.008368691143883939,-0.0041793185632973025,-0.41793185632973023,0.49939930766254403
old,fine,shorter,29,E_vs_F,local_joule_NRMSE,0.07057617668703768,0.11869391286830613,-0.04811773618126845,,0.40539346137030874
old,fine,shorter,29,E_vs_B_E,S,0.0010861718750000001,0.0015754687500000003,-0.0004892968750000001,,0.31057225032232477
old,fine,shorter,29,E_vs_B_E,Ephi,0.01900241378176963,0.02552352964250399,-0.00652111586073436,,0.2554942812405865
old,fine,shorter,29,E_vs_B_E,ET,0.011021722601211524,0.012800189053165364,-0.00177846645195384,-0.177846645195384,0.1389406394364185
old,fine,shorter,29,E_vs_B_E,EV,0.0016533823136455007,0.002829521752748709,-0.0011761394391032083,,0.4156672193668983
old,fine,shorter,29,E_vs_B_E,EI,0.010448642699665498,0.018834335606125907,-0.008385692906460409,-0.8385692906460409,0.4452343359397793
old,fine,shorter,29,E_vs_B_E,bottom_current_NRMSE,0.010448642699662858,0.018834335606125185,-0.008385692906462327,-0.8385692906462328,0.4452343359398982
old,fine,shorter,29,E_vs_B_E,power_trace_NRMSE,0.010551637555618387,0.019271423256033596,-0.00871978570041521,-0.8719785700415209,0.4524723257108254
old,fine,shorter,29,E_vs_B_E,energy_error,0.004189372580586636,0.01349806333613533,-0.009308690755548694,-0.9308690755548694,0.6896315807489678
old,fine,shorter,29,E_vs_B_E,local_joule_NRMSE,0.07057617668703768,0.11209514399081504,-0.041518967303777354,,0.37039041858208754
