Reference,Candidate,Baseline,Comparison scope,Metric,Candidate error,Baseline error,Signed error difference,Difference in percentage points,Relative error reduction %
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,energy_error,0.00447185999901643,0.005126419117121799,-0.0006545591181053691,-0.06545591181053691,12.768349663787689
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,local_joule_NRMSE,0.05337187533213441,0.05568871238263938,-0.0023168370505049704,-0.23168370505049704,4.160335104510749
refined,shorter/29/E_R,shorter/29/E,parent-state retention,S,0.0010056250000000002,0.001082265625,-7.664062499999967e-05,,7.081498592362635
refined,shorter/29/E_R,shorter/29/E,parent-state retention,Ephi,0.017700935047563017,0.018985544417578576,-0.001284609370015559,,6.766249846520854
refined,shorter/29/E_R,shorter/29/E,parent-state retention,ET,0.010498835817490228,0.011058679432145979,-0.0005598436146557507,-0.055984361465575075,5.062481628939948
refined,shorter/29/E_R,shorter/29/E,parent-state retention,EV,0.0014647872142442755,0.001588242723186819,-0.00012345550894254345,,7.7730882780202
refined,shorter/29/E_R,shorter/29/E,parent-state retention,EI,0.00951525379857381,0.010094377330916192,-0.0005791235323423811,-0.05791235323423811,5.737090197418034
refined,shorter/29/E_R,shorter/29/E,parent-state retention,bottom_current_NRMSE,0.009515253798575795,0.010094377330918839,-0.0005791235323430437,-0.057912353234304374,5.737090197423095
refined,shorter/29/E_R,shorter/29/E,parent-state retention,power_trace_NRMSE,0.009606869308288152,0.010169127395583616,-0.0005622580872954638,-0.05622580872954638,5.529069166147418
refined,shorter/29/E_R,shorter/29/E,parent-state retention,energy_error,0.004435330022953811,0.0031642290476377893,0.0012711009753160218,0.12711009753160218,-40.17095337219486
refined,shorter/29/E_R,shorter/29/E,parent-state retention,local_joule_NRMSE,0.05435330162903804,0.05650492306594186,-0.002151621436903825,-0.2151621436903825,3.8078477416788257
refined,shorter/29/E_I,shorter/29/E,parent-state retention,S,0.0009482031250000002,0.001082265625,-0.00013406249999999974,,12.387208546885129
refined,shorter/29/E_I,shorter/29/E,parent-state retention,Ephi,0.017250773434514036,0.018985544417578576,-0.0017347709830645396,,9.1373254561946
refined,shorter/29/E_I,shorter/29/E,parent-state retention,ET,0.01050085803438248,0.011058679432145979,-0.0005578213977634992,-0.05578213977634992,5.044195386855987
refined,shorter/29/E_I,shorter/29/E,parent-state retention,EV,0.0014383972759337922,0.001588242723186819,-0.00014984544725302673,,9.434669214310071
refined,shorter/29/E_I,shorter/29/E,parent-state retention,EI,0.009199367632606167,0.010094377330916192,-0.0008950096983100248,-0.08950096983100247,8.866418095634943
refined,shorter/29/E_I,shorter/29/E,parent-state retention,bottom_current_NRMSE,0.009199367632607995,0.010094377330918839,-0.0008950096983108436,-0.08950096983108435,8.866418095640729
refined,shorter/29/E_I,shorter/29/E,parent-state retention,power_trace_NRMSE,0.00921949024201314,0.010169127395583616,-0.0009496371535704755,-0.09496371535704755,9.33843304965278
refined,shorter/29/E_I,shorter/29/E,parent-state retention,energy_error,0.00447185999901643,0.0031642290476377893,0.001307630951378641,0.1307630951378641,-41.3254202427234
refined,shorter/29/E_I,shorter/29/E,parent-state retention,local_joule_NRMSE,0.05337187533213441,0.05650492306594186,-0.0031330477338074522,-0.31330477338074525,5.544734093613669
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,S,0.0009482031250000002,0.0010056250000000002,-5.742187500000007e-05,,5.710068365444382
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,Ephi,0.017250773434514036,0.017700935047563017,-0.00045016161304898064,,2.543151600971254
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,ET,0.01050085803438248,0.010498835817490228,2.022216892251516e-06,0.0002022216892251516,-0.019261344090005322
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,EV,0.0014383972759337922,0.0014647872142442755,-2.6389938310483274e-05,,1.8016226557588146
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,EI,0.009199367632606167,0.00951525379857381,-0.00031588616596764374,-0.031588616596764374,3.3197870771979847
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,bottom_current_NRMSE,0.009199367632607995,0.009515253798575795,-0.00031588616596779986,-0.031588616596779986,3.3197870771989333
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,power_trace_NRMSE,0.00921949024201314,0.009606869308288152,-0.0003873790662750117,-0.03873790662750117,4.032313273386653
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,energy_error,0.00447185999901643,0.004435330022953811,3.652997606261917e-05,0.0036529976062619172,-0.8236134825045373
refined,shorter/29/E_I,shorter/29/E_R,equal-trainable-parameter gate,local_joule_NRMSE,0.05337187533213441,0.05435330162903804,-0.0009814262969036272,-0.09814262969036272,1.8056424678704412
refined,shorter/43/E,shorter/43/F,historical matched method,S,0.0010675781250000002,0.0011950781250000004,-0.00012750000000000023,,10.668758580113762
refined,shorter/43/E,shorter/43/F,historical matched method,Ephi,0.018581117433486314,0.02333617624104989,-0.0047550588075635745,,20.376340829990433
refined,shorter/43/E,shorter/43/F,historical matched method,ET,0.010990276367360127,0.011446278806350622,-0.0004560024389904955,-0.04560024389904955,3.9838487835670775
refined,shorter/43/E,shorter/43/F,historical matched method,EV,0.0010965397647056808,0.004595274780679757,-0.003498735015974076,,76.1376671245876
refined,shorter/43/E,shorter/43/F,historical matched method,EI,0.0069550749659885586,0.02999654983492931,-0.023041474868940752,-2.3041474868940752,76.81375023373602
refined,shorter/43/E,shorter/43/F,historical matched method,bottom_current_NRMSE,0.0069550749659893695,0.029996549834930386,-0.023041474868941016,-2.3041474868941014,76.81375023373413
refined,shorter/43/E,shorter/43/F,historical matched method,power_trace_NRMSE,0.006891598773290862,0.03103574748176868,-0.024144148708477815,-2.4144148708477817,77.79464220302994
refined,shorter/43/E,shorter/43/F,historical matched method,energy_error,0.0019149882802299975,0.002861685461407761,-0.0009466971811777636,-0.09466971811777636,33.08180420052352
refined,shorter/43/E,shorter/43/F,historical matched method,local_joule_NRMSE,0.04783553686306185,0.14397305760965676,-0.0961375207465949,-9.61375207465949,66.77466071967804
refined,shorter/43/E,shorter/B_E,historical available-data baseline,S,0.0010675781250000002,0.00157453125,-0.0005069531249999998,,32.197082465019335
refined,shorter/43/E,shorter/B_E,historical available-data baseline,Ephi,0.018581117433486314,0.025504228959598335,-0.006923111526112021,,27.144955203621468
refined,shorter/43/E,shorter/B_E,historical available-data baseline,ET,0.010990276367360127,0.01291774799709429,-0.0019274716297341624,-0.19274716297341624,14.921111870023527
refined,shorter/43/E,shorter/B_E,historical available-data baseline,EV,0.0010965397647056808,0.0029573788575261973,-0.0018608390928205164,,62.921904242498044
refined,shorter/43/E,shorter/B_E,historical available-data baseline,EI,0.0069550749659885586,0.019691426256249034,-0.012736351290260475,-1.2736351290260475,64.67967898576478
